PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Maarjamäe,Summer 2016 2x10,2020-01-05 13:57,60,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Oskar,Maarjamäe,Summer 2016 2x10,2020-01-05 13:57,56,-4,3,2,2,3,3,3,2,3,3,3,2,2,2,3,5,4,2,2,3,4
cardo,Maarjamäe,Summer 2016 2x10,2020-01-05 13:57,65,5,4,2,2,4,5,4,3,4,3,4,4,3,2,3,3,2,3,3,4,3
Par,Coolbet Järve Discgolfipark,Main,2019-12-28 14:14,57,,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,,
cardo,Coolbet Järve Discgolfipark,Main,2019-12-28 14:14,73,16,4,4,3,5,5,3,4,6,3,3,3,3,4,4,4,4,6,5,,
Silver,Coolbet Järve Discgolfipark,Main,2019-12-28 14:14,64,7,3,4,3,3,3,3,3,5,2,4,4,2,5,4,5,3,4,4,,
Par,Männiku Discgolf,Main,2019-12-28 12:05,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
cardo,Männiku Discgolf,Main,2019-12-28 12:05,81,20,2,3,4,6,5,5,4,5,2,4,4,4,5,4,5,5,5,4,5,
Silver,Männiku Discgolf,Main,2019-12-28 12:05,63,2,3,3,3,4,4,4,2,3,3,2,4,3,4,3,3,3,4,3,5,
Par,Maarjamäe,Summer 2016 2x10,2019-12-23 20:53,60,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Oskar,Maarjamäe,Summer 2016 2x10,2019-12-23 20:53,60,0,2,2,3,4,5,4,3,2,3,3,2,2,3,2,4,4,2,3,4,3
Jaan,Maarjamäe,Summer 2016 2x10,2019-12-23 20:53,53,-7,3,2,3,3,4,2,2,2,3,2,3,2,3,3,4,2,3,2,3,2
cardo,Maarjamäe,Summer 2016 2x10,2019-12-23 20:53,65,5,3,4,2,3,3,4,3,4,5,3,2,3,3,3,5,2,4,2,3,4
Par,Männiku Discgolf,Main,2019-12-15 10:40,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
cardo,Männiku Discgolf,Main,2019-12-15 10:40,75,14,4,2,4,5,5,4,5,4,3,4,4,5,4,3,4,4,3,4,4,
Silver,Männiku Discgolf,Main,2019-12-15 10:40,64,3,3,3,5,6,3,3,3,4,2,3,3,4,3,4,2,2,4,3,4,
Par,Coolbet Järve Discgolfipark,Main,2019-12-07 21:57,57,,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,,
Oskar,Coolbet Järve Discgolfipark,Main,2019-12-07 21:57,69,12,3,5,5,4,3,3,3,7,3,5,3,3,5,3,4,4,3,3,,
cardo,Coolbet Järve Discgolfipark,Main,2019-12-07 21:57,72,15,3,4,4,4,4,4,4,5,5,5,3,3,4,5,3,4,4,4,,
sword,Coolbet Järve Discgolfipark,Main,2019-12-07 21:57,74,17,3,4,3,3,3,4,5,5,4,3,3,4,7,4,4,6,5,4,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 19:37,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 19:37,34,4,3,3,3,4,3,4,3,3,4,4,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 19:37,34,4,3,2,3,4,3,4,4,3,5,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 18:51,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 18:51,30,0,3,3,4,2,3,2,4,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 18:51,30,0,4,2,3,2,4,3,3,2,4,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 17:49,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 17:49,32,2,3,2,3,4,3,5,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-11-09 17:49,32,2,3,3,3,3,3,5,3,3,3,3,,,,,,,,,,
Par,Kõrvemaa Discgolfi park,Main,2019-11-09 13:57,62,,3,4,3,3,3,4,3,3,3,3,4,4,3,4,3,5,4,3,,
SePa,Kõrvemaa Discgolfi park,Main,2019-11-09 13:57,85,23,4,5,3,4,3,6,4,6,3,4,6,7,4,4,6,6,5,5,,
sword,Kõrvemaa Discgolfi park,Main,2019-11-09 13:57,84,22,6,5,3,5,3,8,4,3,3,5,5,4,5,5,5,5,4,6,,
cardo,Kõrvemaa Discgolfi park,Main,2019-11-09 13:57,73,11,4,5,5,3,2,6,3,4,3,3,4,4,4,5,5,5,4,4,,
Jaan,Kõrvemaa Discgolfi park,Main,2019-11-09 13:57,74,12,2,3,3,4,3,4,3,4,4,4,3,5,4,5,7,7,4,5,,
Par,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,58,,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,,
Gert,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,66,8,5,4,4,3,4,3,3,4,3,2,3,4,3,4,4,3,5,5,,
SePa,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,77,19,6,5,4,4,3,3,3,3,3,3,6,6,3,3,4,3,6,9,,
jaan,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,68,10,7,4,4,3,3,3,3,2,3,4,3,6,3,3,2,3,7,5,,
sword,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,79,21,7,4,5,3,4,3,4,4,3,4,4,6,3,4,3,6,6,6,,
cardo,Tamsalu Discgolfi Park,Main,2019-11-09 10:53,75,17,5,4,3,7,5,4,3,4,4,4,3,4,3,3,3,5,5,6,,
Par,Maarjamäe,Summer 2016 2x10,2019-11-04 20:57,60,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SePa,Maarjamäe,Summer 2016 2x10,2019-11-04 20:57,63,3,2,4,3,3,3,2,3,2,4,3,4,2,2,3,3,5,4,3,5,3
cardo,Maarjamäe,Summer 2016 2x10,2019-11-04 20:57,73,13,3,3,3,4,4,4,4,4,4,5,4,4,4,3,5,2,3,3,4,3
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:49,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:49,33,3,3,3,3,3,5,4,2,3,4,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:49,29,-1,3,3,2,3,3,2,3,4,3,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:03,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:03,33,3,3,3,3,3,4,2,3,4,5,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 22:03,29,-1,3,2,2,4,4,2,3,2,4,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 21:21,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 21:21,31,1,3,3,3,4,5,2,2,2,4,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-24 21:21,37,7,4,4,3,3,5,4,4,3,4,3,,,,,,,,,,
Par,Lauluväljak Talv 2019,Custom,2019-10-24 17:28,36,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
cardo,Lauluväljak Talv 2019,Custom,2019-10-24 17:28,43,10,4,3,3,4,4,4,4,4,5,4,4,0,,,,,,,,
Oskar,Lauluväljak Talv 2019,Custom,2019-10-24 17:28,37,4,5,3,3,2,4,4,4,4,3,3,2,0,,,,,,,,
SePa,Lauluväljak Talv 2019,Custom,2019-10-24 17:28,36,3,3,2,3,2,3,3,3,6,4,3,4,0,,,,,,,,
Gert,Lauluväljak Talv 2019,Custom,2019-10-24 17:28,36,3,3,2,2,4,3,5,3,3,3,5,3,0,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 22:35,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 22:35,30,0,3,3,3,3,5,2,2,2,4,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 22:35,29,-1,2,2,3,3,5,2,2,3,4,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:46,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:46,32,2,3,3,3,3,5,4,2,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:46,36,6,4,4,3,3,5,3,3,3,6,2,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:01,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:01,37,7,3,5,4,3,4,5,3,3,4,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 21:01,35,5,3,3,4,4,4,5,3,3,3,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 20:02,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
SePa,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 20:02,30,0,3,3,3,3,4,3,2,2,4,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-23 20:02,32,2,4,3,3,4,4,3,3,3,3,2,,,,,,,,,,
Par,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 16:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 16:00,65,11,4,5,3,4,4,4,3,3,2,3,5,4,3,3,5,5,2,3,,
Oskar,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 16:00,57,3,3,4,3,2,3,3,3,3,4,2,3,3,4,3,4,3,3,4,,
Par,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 15:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 15:00,58,4,4,5,3,3,4,5,2,2,3,3,3,2,3,4,3,3,3,3,,
Oskar,Ääsmäe Discgolf,2018 18 Korvi,2019-10-20 15:00,58,4,3,5,3,3,3,3,2,4,4,2,3,2,3,5,3,4,3,3,,
Par,Kernu,Main,2019-10-19 17:32,36,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
Oskar,Kernu,Main,2019-10-19 17:32,37,1,3,2,3,4,3,3,3,3,3,3,3,4,,,,,,,,
cardo,Kernu,Main,2019-10-19 17:32,37,1,3,3,4,3,3,3,2,3,3,3,3,4,,,,,,,,
sword,Kernu,Main,2019-10-19 17:32,41,5,3,3,3,4,4,3,4,3,3,4,3,4,,,,,,,,
Jaan,Kernu,Main,2019-10-19 17:32,39,3,3,3,4,2,2,3,4,4,5,3,3,3,,,,,,,,
Par,Kernu,Main,2019-10-19 16:15,36,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
cardo,Kernu,Main,2019-10-19 16:15,36,0,2,4,3,3,3,2,2,3,4,3,4,3,,,,,,,,
Par,Kernu,Main,2019-10-19 15:15,36,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
cardo,Kernu,Main,2019-10-19 15:15,39,3,4,3,4,3,3,3,2,4,2,3,4,4,,,,,,,,
Par,Kurna Mõisapark,Main,2019-10-19 12:00,55,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Kurna Mõisapark,Main,2019-10-19 12:00,60,5,4,3,3,4,3,3,3,4,3,3,3,4,2,4,4,3,3,4,,
Par,Discland,18 Hole Layout,2019-10-13 17:18,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Oskar,Discland,18 Hole Layout,2019-10-13 17:18,64,10,3,3,3,6,4,4,3,5,5,3,4,3,4,3,4,3,2,2,,
cardo,Discland,18 Hole Layout,2019-10-13 17:18,80,26,4,4,5,6,4,5,6,4,5,5,4,3,5,4,4,4,4,4,,
sword,Discland,18 Hole Layout,2019-10-13 17:18,66,12,4,4,5,3,3,4,5,3,2,3,3,3,4,3,4,4,4,5,,
Gert,Discland,18 Hole Layout,2019-10-13 17:18,60,6,3,2,4,3,4,2,4,4,5,2,6,4,3,2,4,3,3,2,,
Par,Discland,18 Hole Layout,2019-10-13 16:04,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Oskar,Discland,18 Hole Layout,2019-10-13 16:04,62,8,5,3,3,4,3,3,3,4,3,3,2,3,6,5,3,3,3,3,,
Heyne,Discland,18 Hole Layout,2019-10-13 16:04,65,11,5,4,4,3,3,6,3,2,4,4,4,4,5,2,3,3,3,3,,
Gert,Discland,18 Hole Layout,2019-10-13 16:04,63,9,5,5,3,3,5,2,4,6,3,2,3,3,4,4,3,3,3,2,,
cardo,Discland,18 Hole Layout,2019-10-13 16:04,73,19,6,4,3,4,3,3,3,3,5,4,3,3,7,4,4,4,5,5,,
sword,Discland,18 Hole Layout,2019-10-13 16:04,68,14,6,3,4,3,4,3,4,3,5,3,6,5,4,4,2,4,3,2,,
Par,Kurna Mõisapark,Main,2019-10-12 12:00,55,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Kurna Mõisapark,Main,2019-10-12 12:00,72,17,3,4,3,5,4,3,3,5,4,4,4,3,4,4,3,4,7,5,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:57,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:57,32,2,4,2,3,3,4,4,3,2,3,4,,,,,,,,,,
Jaan,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:57,30,0,2,3,3,3,3,3,2,3,5,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:57,35,5,3,3,3,4,5,2,3,3,4,5,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:08,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:08,27,-3,2,3,2,3,5,2,2,2,3,3,,,,,,,,,,
Jaan,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:08,33,3,4,2,2,4,3,4,3,3,5,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-11 17:08,33,3,4,4,2,5,3,3,2,3,4,3,,,,,,,,,,
Par,Discland,18 Hole Layout,2019-10-10 17:30,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Discland,18 Hole Layout,2019-10-10 17:30,55,1,3,3,3,3,3,2,4,4,3,2,3,2,4,3,3,3,3,4,,
Oskar,Discland,18 Hole Layout,2019-10-10 17:30,63,9,3,4,3,4,3,4,4,4,4,3,4,2,4,3,2,3,5,4,,
Sepa,Discland,18 Hole Layout,2019-10-10 17:30,69,15,4,3,3,5,2,5,6,4,3,3,3,3,5,5,5,4,3,3,,
Par,Discland,18 Hole Layout,2019-10-10 16:10,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Oskar,Discland,18 Hole Layout,2019-10-10 16:10,64,10,2,2,2,5,4,3,6,5,3,4,3,3,4,3,4,4,3,4,,
SePa,Discland,18 Hole Layout,2019-10-10 16:10,67,13,3,4,3,3,3,3,3,4,6,3,6,3,5,3,4,3,3,5,,
cardo,Discland,18 Hole Layout,2019-10-10 16:10,75,21,5,3,5,5,4,6,4,5,4,4,3,3,4,4,5,4,5,2,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 19:33,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 19:33,32,2,4,2,3,5,4,2,2,3,4,3,,,,,,,,,,
Jaan,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 19:33,32,2,3,2,2,4,6,4,3,2,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 19:33,35,5,3,3,3,4,5,4,3,3,4,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 18:00,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 18:00,32,2,3,3,3,3,4,4,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 18:00,37,7,4,3,4,3,4,4,3,3,4,5,,,,,,,,,,
Jaan,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 18:00,33,3,3,3,2,3,4,4,3,3,4,4,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 17:14,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Oskar,Maarjamäe,Maarjamäe (summer 2016),2019-10-09 17:14,33,3,4,3,5,3,4,2,3,3,3,3,,,,,,,,,,
